gamma,p,d_static,alpha_static,F_raw,F_static,Y_static,R_static,d_adaptive,alpha_adaptive,F_adaptive,Y_adaptive,R_adaptive,delta_F,delta_Y,delta_T
0.01,0.01,2,0.4368421137332916,0.9850438441822442,0.0,0.0,0.0,1,0.4368421137332916,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.02,1,0.3947368562221527,0.975093969811178,0.0,0.0,0.0,1,0.47894737124443054,0.9578950278467072,0.5,-9900.0,0.9578950278467072,0.5,-9900.0
0.01,0.03,1,0.5631579160690308,0.9651440954401119,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.04,1,0.4368421137332916,0.9551942210690455,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.05,1,0.5210526585578918,0.9452443466979793,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.060000000000000005,1,0.47894737124443054,0.9352944723269132,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.06999999999999999,1,0.47894737124443054,0.9253445979558471,0.8674662315971828,0.5,100.0,1,0.47894737124443054,0.0,0.0,-10000.0,-0.8674662315971828,-0.5,-10100.0
0.01,0.08,1,0.47894737124443054,0.9153947235847808,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.09,1,0.47894737124443054,0.9054448492137146,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.09999999999999999,1,0.47894737124443054,0.8954949748426484,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.11,1,0.47894737124443054,0.8855451004715822,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.12,1,0.47894737124443054,0.875595226100516,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.13,1,0.47894737124443054,0.8656453517294497,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.14,1,0.47894737124443054,0.8556954773583836,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.15000000000000002,1,0.47894737124443054,0.8457456029873174,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.16,1,0.47894737124443054,0.8357957286162512,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.17,1,0.47894737124443054,0.825845854245185,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.18000000000000002,1,0.47894737124443054,0.8158959798741188,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.19,1,0.47894737124443054,0.8059461055030526,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.01,0.2,1,0.47894737124443054,0.7959962311319864,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.01,1,0.6052631735801697,0.980075251893972,0.0,0.0,0.0,1,0.3947368562221527,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.02,1,0.3947368562221527,0.9701757569573604,0.0,0.0,0.0,2,0.4368421137332916,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.03,3,0.47894737124443054,0.9602762620207487,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.04,1,0.4368421137332916,0.950376767084137,0.0,0.0,0.0,1,0.5631579160690308,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.05,1,0.4368421137332916,0.9404772721475252,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.060000000000000005,1,0.47894737124443054,0.9305777772109136,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.06999999999999999,1,0.47894737124443054,0.9206782822743023,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.08,1,0.47894737124443054,0.9107787873376905,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.09,1,0.47894737124443054,0.9008792924010788,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.09999999999999999,1,0.47894737124443054,0.890979797464467,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.11,1,0.47894737124443054,0.8810803025278553,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.12,1,0.47894737124443054,0.8711808075912437,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.13,1,0.47894737124443054,0.8612813126546319,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.14,1,0.47894737124443054,0.8513818177180204,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.15000000000000002,1,0.47894737124443054,0.8414823227814088,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.16,1,0.47894737124443054,0.831582827844797,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.17,1,0.47894737124443054,0.8216833329081854,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.18000000000000002,1,0.47894737124443054,0.8117838379715736,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.19,1,0.47894737124443054,0.801884343034962,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.02,0.2,1,0.47894737124443054,0.7919848480983503,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.01,1,0.6052631735801697,0.9750940322880096,0.0,0.0,0.0,2,0.4368421137332916,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.02,1,0.3947368562221527,0.9652451744862134,0.0,0.0,0.0,1,0.3947368562221527,0.8904109504812288,0.5,-9900.0,0.8904109504812288,0.5,-9900.0
0.03,0.03,3,0.47894737124443054,0.9553963166844173,0.0,0.0,0.0,1,0.4368421137332916,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.04,1,0.4368421137332916,0.9455474588826212,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.05,1,0.4368421137332916,0.935698601080825,0.0,0.0,0.0,1,0.4368421137332916,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.060000000000000005,1,0.47894737124443054,0.9258497432790289,0.0,0.0,0.0,1,0.47894737124443054,0.8851563997924439,0.5,-9900.0,0.8851563997924439,0.5,-9900.0
0.03,0.06999999999999999,1,0.47894737124443054,0.916000885477233,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
0.03,0.08,1,0.47894737124443054,0.9061520276754369,0.0,0.0,0.0,1,0.47894737124443054,0.0,0.0,-10000.0,0.0,0.0,-10000.0
