gamma,p,F,Y,delta_F,delta_Y
0.01,0.01,0.9962241464434441,0.9630766283277352,0.003730419978941857,-0.03692337167226478
0.01,0.03111111111111111,0.9881647311077876,0.9177161917324084,0.006310155686234942,-0.08228380826759163
0.01,0.052222222222222225,0.9799576221383755,0.8738028987200669,0.008858743572664474,-0.1261971012799331
0.01,0.07333333333333333,0.97160231204187,0.8313132887718755,0.011379615118951136,-0.1686867112281245
0.01,0.09444444444444444,0.9630987494519677,0.7902239013689963,0.01387683762588321,-0.20977609863100366
0.01,0.11555555555555555,0.9544475011748468,0.7505112759925935,0.016355361737428575,-0.24948872400740651
0.01,0.1366666666666667,0.9456497784590229,0.7121519521238284,0.01882106812444695,-0.2878480478761716
0.01,0.1577777777777778,0.936707590135257,0.6751224692438662,0.021280876244245017,-0.3248775307561338
0.01,0.1788888888888889,0.9276238757146407,0.6393993668338691,0.02374296974360801,-0.3606006331661309
0.01,0.2,0.9184026282273101,0.6049591843750004,0.026216947488719056,-0.3950408156249996
0.03111111111111111,0.01,0.9961390366402973,0.9327535209321768,0.008951450954672202,-0.06724647906782322
0.03111111111111111,0.03111111111111111,0.988081682371692,0.8888212878150897,0.011476217091270335,-0.11117871218491027
0.03111111111111111,0.052222222222222225,0.9798766838849513,0.8462906340039701,0.01396927325777586,-0.1537093659960299
0.03111111111111111,0.07333333333333333,0.971523534760536,0.8051388376500005,0.016433993646219114,-0.1948611623499995
0.03111111111111111,0.09444444444444444,0.9630221846379093,0.7653431769043644,0.01887445404305288,-0.23465682309563562
0.03111111111111111,0.11555555555555555,0.9543732012383118,0.7268809299182448,0.021295582372185984,-0.2731190700817552
0.03111111111111111,0.1366666666666667,0.9455777966073922,0.6897293748428244,0.023703212691369213,-0.31027062515717563
0.03111111111111111,0.1577777777777778,0.9366379802224873,0.6538657898292872,0.026104253400788813,-0.3461342101707128
0.03111111111111111,0.1788888888888889,0.927556684601114,0.6192674530288153,0.02850687521719386,-0.38073254697118475
0.03111111111111111,0.2,0.9183379178954839,0.5859116425925929,0.03092061730081752,-0.4140883574074071
0.052222222222222225,0.01,0.9959574716966736,0.9030840029189383,0.014134096940768948,-0.09691599708106169
0.052222222222222225,0.03111111111111111,0.9879044556649211,0.860549189540913,0.016605386366653874,-0.13945081045908703
0.052222222222222225,0.052222222222222225,0.9797038992482481,0.8193713732919632,0.0190444253334342,-0.1806286267080368
0.052222222222222225,0.07333333333333333,0.9713552908218711,0.7795285550718755,0.021454576207499576,-0.22047144492812454
0.052222222222222225,0.09444444444444444,0.9628586044781996,0.7409987357804331,0.023839901565435917,-0.25900126421956693
0.052222222222222225,0.11555555555555555,0.9542143874960852,0.7037599163174217,0.026205307136357714,-0.29624008368257826
0.052222222222222225,0.1366666666666667,0.9454238610319614,0.6677900975826248,0.02855658072629963,-0.33220990241737525
0.052222222222222225,0.1577777777777778,0.9364890359055772,0.6330672804758279,0.030900642188364857,-0.36693271952417206
0.052222222222222225,0.1788888888888889,0.9274128530276146,0.5995694658968149,0.03324559706376118,-0.4004305341031851
0.052222222222222225,0.2,0.9181992986434634,0.5672746547453709,0.035600961663082464,-0.43272534525462913
0.07333333333333333,0.01,0.9956690402657087,0.8740680742880211,0.019269866409703407,-0.12593192571197886
0.07333333333333333,0.03111111111111111,0.9876228222202028,0.8328998969098775,0.021689332970947328,-0.16710010309012246
0.07333333333333333,0.052222222222222225,0.9794292261916488,0.7930451165840474,0.024076048887492596,-0.20695488341595258
0.07333333333333333,0.07333333333333333,0.9710877514987425,0.7544824410375005,0.026433395321146524,-0.2455175589624995
0.07333333333333333,0.09444444444444444,0.9625983531475465,0.7171905779972032,0.028765377642107626,-0.2828094220027968
0.07333333333333333,0.11555555555555555,0.9539616037317615,0.6811482351901239,0.0310768874007481,-0.3188517648098761
0.07333333333333333,0.1366666666666667,0.9451787195282844,0.6463341203432295,0.03337371124339428,-0.35366587965677054
0.07333333333333333,0.1577777777777778,0.9362517134283299,0.612726941183488,0.03566271359020079,-0.387273058816512
0.07333333333333333,0.1788888888888889,0.9271835277860171,0.5803054054378671,0.037951994311480886,-0.41969459456213287
0.07333333333333333,0.2,0.917978156959597,0.5490482208333337,0.04025103898869342,-0.4509517791666663
0.09444444444444444,0.01,0.9952623806125841,0.8457057350394245,0.024349481257489036,-0.15429426496057552
0.09444444444444444,0.03111111111111111,0.9872256172723399,0.8058734099219825,0.02671892261748543,-0.19412659007801747
0.09444444444444444,0.052222222222222225,0.979041708822052,0.7673118638802221,0.029055209622263156,-0.2326881361197779
0.09444444444444444,0.07333333333333333,0.970710129597976,0.7300004955468752,0.03136163135059389,-0.2699995044531248
0.09444444444444444,0.09444444444444444,0.9622308838106174,0.6939187035546741,0.033642248484213266,-0.3060812964453259
0.09444444444444444,0.11555555555555555,0.9536045183293317,0.6590458865363517,0.03590189429739876,-0.34095411346364835
0.09444444444444444,0.1366666666666667,0.9448322604117382,0.6253614431246383,0.03814633979047011,-0.37463855687536174
0.09444444444444444,0.1577777777777778,0.9359161257818973,0.5928447719522678,0.04038241648052765,-0.4071552280477322
0.09444444444444444,0.1788888888888889,0.9268590513003722,0.5614752716519715,0.04261821100383889,-0.43852472834802847
0.09444444444444444,0.2,0.9176650545456132,0.5312323408564819,0.044863177745350535,-0.46876765914351815
0.11555555555555555,0.01,0.9947251052804661,0.8179969851731491,0.029362728677703398,-0.18200301482685088
0.11555555555555555,0.03111111111111111,0.9867006583918824,0.7794697285772294,0.031684144623257526,-0.2205302714227706
0.11555555555555555,0.052222222222222225,0.9785293596091081,0.7421716151804876,0.03397201388231619,-0.2578283848195124
0.11555555555555555,0.07333333333333333,0.970210704399186,0.7060827186000006,0.036229646153299155,-0.2939172813999994
0.11555555555555555,0.09444444444444444,0.9617446804312255,0.6711831124528468,0.03846105393405275,-0.3288168875471532
0.11555555555555555,0.11555555555555555,0.9531318472805276,0.6374528703561048,0.040671057573136826,-0.36254712964389524
0.11555555555555555,0.1366666666666667,0.9443734367423388,0.6048720659268522,0.04286540541422057,-0.39512793407314784
0.11555555555555555,0.1577777777777778,0.9354714681658562,0.5734207727821679,0.04505091115654969,-0.42657922721783215
0.11555555555555555,0.1788888888888889,0.9264288808917572,0.5430790645391292,0.047235610819455154,-0.45692093546087076
0.11555555555555555,0.2,0.9172496935565756,0.5138270148148151,0.04942894943017939,-0.4861729851851849
0.1366666666666667,0.01,0.994043682416004,0.7909418246891933,0.034298397345414955,-0.20905817531080673
0.1366666666666667,0.03111111111111111,0.9860346578015852,0.7536888528756177,0.03657396715930128,-0.2463111471243823
0.1366666666666667,0.052222222222222225,0.9778791474169809,0.7176243704848433,0.038815673562441644,-0.2823756295151567
0.1366666666666667,0.07333333333333333,0.9695766544545865,0.6827291101968754,0.041026825530842026,-0.31727088980312457
0.1366666666666667,0.09444444444444444,0.9611271737793122,0.6489838046917199,0.043211395696153176,-0.3510161953082801
0.1366666666666667,0.11555555555555555,0.9525312714627869,0.6163691866493831,0.04537418471793786,-0.3836308133506169
0.1366666666666667,0.1366666666666667,0.9437901848934072,0.5848659887498702,0.047520933647523744,-0.41513401125012983
0.1366666666666667,0.1577777777777778,0.9349059378666842,0.5544549436731873,0.04965843110199397,-0.44554505632681274
0.1366666666666667,0.1788888888888889,0.9258814727319779,0.5251167840993396,0.05179466978115166,-0.4748832159006604
0.1366666666666667,0.2,0.9167208093505935,0.49683224270833365,0.05393906988661257,-0.5031677572916664
0.1577777777777778,0.01,0.9932033779522008,0.7645402535875585,0.03914419362663912,-0.2354597464124415
0.1577777777777778,0.03111111111111111,0.9852131285646486,0.7285307828171472,0.04137632158907256,-0.2714692171828528
0.1577777777777778,0.052222222222222225,0.9770768304665043,0.6936701297932898,0.043574349977450355,-0.3063298702067102
0.1577777777777778,0.07333333333333333,0.9687940036108214,0.6599396703375005,0.04574153596835473,-0.34006032966249955
0.1577777777777778,0.09444444444444444,0.9603646515217713,0.6273207802712942,0.04788186540332795,-0.37267921972870577
0.1577777777777778,0.11555555555555555,0.9517893480724898,0.5957948354161872,0.05000011252916525,-0.40420516458381284
0.1577777777777778,0.1366666666666667,0.9430693373471577,0.5653432115936924,0.05210200413805666,-0.4346567884063076
0.1577777777777778,0.1577777777777778,0.9342066484348895,0.5359472846253261,0.0541942815971459,-0.46405271537467385
0.1577777777777778,0.1788888888888889,0.9252042272228175,0.5075884303326028,0.056284931356396006,-0.4924115696673972
0.1577777777777778,0.2,0.9160660874826524,0.4802480245370375,0.05838331835930277,-0.5197519754629625
0.1788888888888889,0.01,0.992188161785378,0.7387922718682437,0.04388669756831154,-0.2612077281317563
0.1788888888888889,0.03111111111111111,0.9842202920873026,0.7039955184018181,0.04607802232509184,-0.29600448159818193
0.1788888888888889,0.052222222222222225,0.9761068949874885,0.6703088931058262,0.0482350376042906,-0.3296911068941738
0.1788888888888889,0.07333333333333333,0.9678475163266964,0.6377143990218755,0.05036103188515517,-0.36228560097812446
0.1788888888888889,0.09444444444444444,0.9594421623807805,0.6061940391915697,0.05245995304195372,-0.39380596080843033
0.1788888888888889,0.11555555555555555,0.9508914161938635,0.5757298166565162,0.05453658692634378,-0.42427018334348376
0.1788888888888889,0.1366666666666667,0.9421965296940279,0.5463037344583191,0.05659659441830911,-0.45369626554168085
0.1788888888888889,0.1577777777777778,0.9333595381337342,0.517897795638585,0.058646721965187054,-0.48210220436141504
0.1788888888888889,0.1788888888888889,0.924383391461438,0.4904940032389185,0.06069491974338659,-0.5095059967610815
0.1788888888888889,0.2,0.9152721049067056,0.4640743603009261,0.06275052653591962,-0.5359256396990739
0.2,0.01,0.9909805259265313,0.7136978795312505,0.048511202523265795,-0.2863021204687495
0.2,0.03111111111111111,0.9830389349115863,0.6800830596296301,0.050664570358935124,-0.3199169403703699
0.2,0.052222222222222225,0.9749524506747674,0.6475406604224541,0.052783547602390346,-0.35245933957754594
0.2,0.07333333333333333,0.9667205945610481,0.6160532962500004,0.05487136584367813,-0.3839467037499996
0.2,0.09444444444444444,0.9583434219249979,0.5856035814525464,0.056931995625502774,-0.41439641854745357
0.2,0.11555555555555555,0.9498215040631764,0.5561741303703708,0.05897017559995654,-0.4438258696296292
0.2,0.1366666666666667,0.9411561019386865,0.5277475573437503,0.06099156085322033,-0.47225244265624966
0.2,0.1577777777777778,0.9323492727559698,0.5003064767129635,0.06300288817300803,-0.49969352328703653
0.2,0.1788888888888889,0.9234039710354767,0.47383350281828734,0.06501206374241641,-0.5261664971817126
0.2,0.2,0.9143241911600075,0.44831125000000055,0.06702837704018727,-0.5516887499999994
